trade_id_open,trade_id_close,timestamp_open,timestamp_close,inner_length,total_length,binary_code_str,binary_code_int
1601283318.0,1601283321.0,2026-04-01 18:20:33.668000,2026-04-01 18:20:33.995000,2,4,0000 0010 1000 0000,640
1601283328.0,1601283331.0,2026-04-01 18:20:33.995000,2026-04-01 18:20:33.995000,2,4,0000 0010 1000 0000,640
1601283339.0,1601283342.0,2026-04-01 18:20:33.995000,2026-04-01 18:20:33.995000,2,4,0000 0010 1000 0000,640
1601283342.0,1601283345.0,2026-04-01 18:20:33.995000,2026-04-01 18:20:40.140000,2,4,0000 0001 0100 0000,320
1601283354.0,1601283357.0,2026-04-01 18:20:40.140000,2026-04-01 18:20:40.220000,2,4,0000 0001 0100 0000,320
1601283365.0,1601283368.0,2026-04-01 18:20:40.220000,2026-04-01 18:20:40.369000,2,4,0000 0001 0100 0000,320
1601283396.0,1601283399.0,2026-04-01 18:20:46.194000,2026-04-01 18:20:46.468000,2,4,0000 0010 1000 0000,640
1601283405.0,1601283408.0,2026-04-01 18:20:46.468000,2026-04-01 18:20:46.887000,2,4,0000 0010 1000 0000,640
1601283417.0,1601283420.0,2026-04-01 18:20:46.887000,2026-04-01 18:20:47.113000,2,4,0000 0010 1000 0000,640
1601283428.0,1601283431.0,2026-04-01 18:20:47.114000,2026-04-01 18:20:49.418000,2,4,0000 0010 1000 0000,640
1601283437.0,1601283440.0,2026-04-01 18:20:49.418000,2026-04-01 18:20:50.016000,2,4,0000 0010 1000 0000,640
1601283450.0,1601283455.0,2026-04-01 18:20:55.543000,2026-04-01 18:20:59.329000,4,6,0000 0001 0100 0010 1000 0000,82560
1601283455.0,1601283458.0,2026-04-01 18:20:59.329000,2026-04-01 18:21:06.529000,2,4,0000 0001 0100 0000,320
1601283461.0,1601283464.0,2026-04-01 18:21:06.529000,2026-04-01 18:21:10.501000,2,4,0000 0010 1000 0000,640
1601283464.0,1601283470.0,2026-04-01 18:21:10.501000,2026-04-01 18:21:15.984000,5,7,0000 0001 0100 0010 1001 0100 0000,1321280
1601283480.0,1601283483.0,2026-04-01 18:21:16.291000,2026-04-01 18:21:16.938000,2,4,0000 0001 0100 0000,320
1601283485.0,1601283489.0,2026-04-01 18:21:16.938000,2026-04-01 18:21:18.794000,3,5,0000 0010 1001 0100 0000,10560
1601283489.0,1601283494.0,2026-04-01 18:21:18.794000,2026-04-01 18:21:27.100000,4,6,0000 0010 1000 0001 0100 0000,164160
1601283507.0,1601283510.0,2026-04-01 18:21:27.219000,2026-04-01 18:21:27.465000,2,4,0000 0010 1000 0000,640
1601283516.0,1601283519.0,2026-04-01 18:21:27.680000,2026-04-01 18:21:29.777000,2,4,0000 0010 1000 0000,640
1601283528.0,1601283531.0,2026-04-01 18:21:29.777000,2026-04-01 18:21:30.768000,2,4,0000 0010 1000 0000,640
1601283538.0,1601283541.0,2026-04-01 18:21:30.768000,2026-04-01 18:21:30.821000,2,4,0000 0010 1000 0000,640
1601283552.0,1601283555.0,2026-04-01 18:21:30.827000,2026-04-01 18:21:30.920000,2,4,0000 0010 1000 0000,640
1601283558.0,1601283561.0,2026-04-01 18:21:30.920000,2026-04-01 18:21:31.218000,2,4,0000 0010 1000 0000,640
1601283567.0,1601283570.0,2026-04-01 18:21:31.218000,2026-04-01 18:21:31.228000,2,4,0000 0010 1000 0000,640
1601283599.0,1601283602.0,2026-04-01 18:21:35.195000,2026-04-01 18:21:35.319000,2,4,0000 0001 0100 0000,320
1601283610.0,1601283613.0,2026-04-01 18:21:35.319000,2026-04-01 18:21:36.561000,2,4,0000 0001 0100 0000,320
1601283631.0,1601283634.0,2026-04-01 18:21:40.471000,2026-04-01 18:21:41.566000,2,4,0000 0001 0100 0000,320
1601283652.0,1601283655.0,2026-04-01 18:21:42.603000,2026-04-01 18:21:42.968000,2,4,0000 0010 1000 0000,640
1601283660.0,1601283663.0,2026-04-01 18:21:42.968000,2026-04-01 18:21:44.707000,2,4,0000 0010 1000 0000,640
1601283663.0,1601283666.0,2026-04-01 18:21:44.707000,2026-04-01 18:21:52.040000,2,4,0000 0001 0100 0000,320
1601283671.0,1601283674.0,2026-04-01 18:21:52.040000,2026-04-01 18:21:52.157000,2,4,0000 0010 1000 0000,640
